image_id,PredictionString
0eca5bbff12b841c18d231fc8cda0eeb,3 1.0 727 1132 1590 1583 11 1.0 1155 278 1466 384 11 1.0 568 249 848 347 
8673c57e2f920c8bb15d3c8a062ee2a2,0 1.0 1136 695 1615 1166 
b0a1aba6962b7a2ae90ebd5f293a7413,11 1.0 1092 380 1587 668 7 1.0 1114 454 1628 974 13 1.0 1134 482 1639 1002 3 1.0 742 1264 1555 1550 6 1.0 1123 456 1621 1002 
60485f64a1de6c652639c3ab84fcd12f,11 1.0 1233 425 1543 527 
d343221fe29d689f6d6e5b1501774ee4,0 1.0 1220 845 1518 1184 11 1.0 1353 385 1778 508 3 1.0 856 1572 1924 1962 5 1.0 1739 869 2300 1889 11 1.0 597 445 971 570 
7e198e152ead58293763b80301b53ea7,11 1.0 1094 589 1434 712 
f2fd066f221a835b1c68b24dcbeddc14,0 1.0 1371 862 1724 1242 3 1.0 993 1815 2086 2175 11 1.0 724 457 969 601 11 1.0 1479 446 1883 600 
788c42c6b87bb62f1d5def6b0e7ca9da,0 1.0 1128 956 1416 1294 11 1.0 634 496 956 597 
5d8d9b5c072bbc2a4a2a0b89cd35ee9f,0 1.0 1441 775 1773 1171 
d05829a2a79ab20326e3ddcd339a8baf,0 1.0 1021 661 1227 904 3 1.0 754 1305 1579 1636 7 1.0 585 1180 756 1387 13 1.0 1387 729 1561 982 
69cab0314beaa8eefe2f3b4d316b2642,0 1.0 975 638 1614 1147 11 1.0 668 177 1019 298 3 1.0 821 1485 1901 1925 11 1.0 1473 190 1856 328 
e541711f560cd700d7fdddd1d3dd98d4,0 1.0 946 684 1141 902 11 1.0 504 412 777 506 
6ee6a322ef5a5c52b1e160c2ef5e83fd,0 1.0 1392 855 1688 1174 3 1.0 998 1592 2179 1989 10 1.0 253 1947 407 2189 11 1.0 1656 436 2083 568 13 1.0 466 1631 877 1811 11 1.0 258 1924 431 2206 
8d8830c35ca3c9b01c3dd33eb4fabc00,0 1.0 1669 722 1964 1072 13 1.0 2251 578 2417 896 3 1.0 1302 1630 2392 1980 11 1.0 1894 352 2270 464 10 1.0 2137 1758 2696 2152 
aa94a6c5aa2944663fbaf9b0fe6c23cc,3 1.0 737 1166 1798 1521 0 1.0 1143 610 1454 931 5 1.0 139 329 961 1674 
3075ea62bfa39a295cbf419b9248401b,0 1.0 1362 817 2006 1281 3 1.0 1280 1340 2291 1719 11 1.0 1109 522 1470 670 13 1.0 900 1368 1269 1543 
5dcc4cf4ea03103c20218117eb9fb9b0,0 1.0 1008 638 1179 830 3 1.0 781 1199 1487 1489 
